,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Model,Submodel,Mileage_Value,Engine_CC,Power_bhp
0,Mumbai,2010,72000,CNG,Manual,First,5.0,1.75,Maruti,Wagon,R LXI CNG,26.6,998.0,58.16
1,Pune,2015,41000,Diesel,Manual,First,5.0,12.5,Hyundai,Creta,1.6 CRDi SX Option,19.67,1582.0,126.2
2,Chennai,2011,46000,Petrol,Manual,First,5.0,4.5,Honda,Jazz,V,18.2,1199.0,88.7
3,Chennai,2012,87000,Diesel,Manual,First,7.0,6.0,Maruti,Ertiga,VDI,20.77,1248.0,88.76
4,Coimbatore,2013,40670,Diesel,Automatic,Second,5.0,17.74,Audi,A4,New 2.0 TDI Multitronic,15.2,1968.0,140.8
5,Hyderabad,2012,75000,LPG,Manual,First,5.0,2.35,Hyundai,EON,LPG Era Plus Option,21.1,814.0,55.2
6,Jaipur,2013,86999,Diesel,Manual,First,5.0,3.5,Nissan,Micra,Diesel XV,23.08,1461.0,63.1
7,Mumbai,2016,36000,Diesel,Automatic,First,8.0,17.5,Toyota,Innova,Crysta 2.8 GX AT 8S,11.36,2755.0,171.5
8,Pune,2013,64430,Diesel,Manual,First,5.0,5.2,Volkswagen,Vento,Diesel Comfortline,20.54,1598.0,103.6
9,Chennai,2012,65932,Diesel,Manual,Second,5.0,1.95,Tata,Indica,Vista Quadrajet LS,22.3,1248.0,74.0
10,Kochi,2018,25692,Petrol,Manual,First,5.0,9.95,Maruti,Ciaz,Zeta,21.56,1462.0,103.25
11,Kolkata,2012,60000,Petrol,Automatic,First,5.0,4.49,Honda,City,1.5 V AT Sunroof,16.8,1497.0,116.3
12,Jaipur,2015,64424,Diesel,Manual,First,5.0,5.6,Maruti,Swift,VDI BSIV,25.2,1248.0,74.0
13,Delhi,2014,72000,Diesel,Automatic,First,5.0,27.0,Land,Rover,Range Rover 2.2L Pure,12.7,2179.0,187.7
14,Pune,2012,85000,Diesel,Automatic,Second,5.0,17.5,Land,Rover,Freelander 2 TD4 SE,0.0,2179.0,115.0
15,Delhi,2014,110000,Diesel,Manual,First,7.0,15.0,Mitsubishi,Pajero,Sport 4X4,13.5,2477.0,175.56
16,Kochi,2016,58950,Diesel,Manual,First,5.0,5.4,Honda,Amaze,S i-Dtech,25.8,1498.0,98.6
17,Jaipur,2017,25000,Diesel,Manual,First,5.0,5.99,Maruti,Swift,DDiS VDI,28.4,1248.0,74.0
18,Kochi,2014,77469,Diesel,Manual,First,5.0,6.34,Renault,Duster,85PS Diesel RxL Plus,20.45,1461.0,83.8
19,Bangalore,2014,78500,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,New,C-Class C 220 CDI BE Avantgare,14.84,2143.0,167.62
20,Kochi,2014,32982,Diesel,Automatic,First,5.0,18.55,BMW,3,Series 320d,22.69,1995.0,190.0
21,Bangalore,2015,55392,Diesel,Manual,Second,5.0,8.25,Maruti,S,Cross DDiS 200 Alpha,23.65,1248.0,88.5
22,Mumbai,2015,55985,Petrol,Automatic,First,5.0,23.5,Audi,A6,2011-2015 35 TFSI Technology,13.53,1984.0,177.01
23,Kolkata,2010,45807,Petrol,Manual,First,5.0,1.87,Hyundai,i20,1.2 Magna,18.5,1197.0,80.0
24,Kolkata,2010,33000,Petrol,Automatic,First,5.0,2.85,Volkswagen,Vento,Petrol Highline AT,14.4,1598.0,103.6
25,Mumbai,2012,51920,Petrol,Manual,First,5.0,4.25,Honda,City,Corporate Edition,16.8,1497.0,116.3
26,Hyderabad,2012,54000,Diesel,Manual,First,5.0,4.25,Nissan,Micra,Diesel XV,23.08,1461.0,63.1
27,Hyderabad,2013,54000,Petrol,Manual,Second,5.0,2.75,Maruti,Alto,K10 2010-2014 VXI,20.92,998.0,67.1
28,Kochi,2018,37430,Petrol,Manual,First,5.0,9.9,Honda,WRV,i-VTEC VX,17.5,1199.0,88.7
29,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7.0,4.0,Toyota,Innova,2.5 V Diesel 7-seater,12.8,2494.0,102.0
30,Bangalore,2013,62000,Diesel,Manual,First,5.0,7.75,Renault,Duster,110PS Diesel RxZ Pack,19.01,1461.0,108.45
31,Delhi,2012,87615,Petrol,Manual,First,5.0,6.75,Toyota,Corolla,Altis G,14.53,1798.0,138.1
32,Bangalore,2013,72000,Diesel,Automatic,Second,7.0,12.5,Mahindra,Ssangyong,Rexton RX7,11.18,2696.0,184.0
33,Kolkata,2010,35000,Diesel,Automatic,First,5.0,11.5,Audi,A6,2.7 TDI,12.4,2698.0,179.5
34,Coimbatore,2014,55431,Petrol,Manual,Second,5.0,6.98,Volkswagen,Vento,1.6 Highline,16.09,1598.0,103.5
35,Jaipur,2009,83816,Petrol,Manual,Second,5.0,1.85,Maruti,Wagon,R LXI BSIII,14.0,1061.0,64.0
36,Kochi,2018,50075,Diesel,Manual,First,5.0,8.63,Maruti,Vitara,Brezza ZDi Plus,24.3,1248.0,88.5
37,Delhi,2017,52000,Petrol,Manual,First,5.0,4.85,Mahindra,KUV,100 mFALCON G80 K6 5str AW,18.15,1198.0,82.0
38,Pune,2013,85000,Diesel,Automatic,First,5.0,28.0,Mercedes-Benz,M-Class,ML 350 CDI,11.74,2987.0,254.8
39,Chennai,2013,62000,Diesel,Manual,First,5.0,5.0,Volkswagen,Polo,Diesel Trendline 1.2L,22.07,1199.0,73.9
40,Delhi,2008,90000,Petrol,Manual,Second,5.0,1.25,Maruti,Alto,LXi,19.7,796.0,46.3
41,Kochi,2014,19698,Petrol,Manual,First,4.0,1.53,Tata,Nano,LX SE,25.4,624.0,37.5
42,Coimbatore,2017,22033,Diesel,Manual,First,6.0,5.58,Mahindra,KUV,100 mFALCON D75 K8 Dual Tone,25.32,1198.0,77.0
43,Kochi,2014,35487,Petrol,Manual,First,5.0,4.74,Hyundai,i20,Magna Optional 1.2,18.5,1197.0,82.9
44,Bangalore,2014,46374,Petrol,Automatic,First,5.0,8.85,Hyundai,Elantra,2.0 SX Option AT,14.62,1999.0,149.92
45,Mumbai,2016,52001,Petrol,Automatic,First,5.0,10.11,Toyota,Corolla,Altis G AT,14.28,1798.0,138.03
46,Ahmedabad,2008,58005,Diesel,Manual,Second,5.0,4.25,Hyundai,Elantra,CRDi,14.9,1991.0,112.2
47,Bangalore,2012,70704,Petrol,Manual,First,7.0,10.95,Toyota,Innova,Crysta 2.7 GX MT,11.25,2694.0,163.7
48,Jaipur,2014,75000,Diesel,Manual,First,5.0,3.85,Hyundai,Xcent,1.1 CRDi S,24.4,1120.0,71.0
49,Jaipur,2012,75800,Diesel,Manual,Second,6.0,5.5,Mahindra,Thar,CRDe AC,16.55,2498.0,105.0
50,Kochi,2015,13648,Diesel,Automatic,First,5.0,21.43,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,1968.0,174.33
51,Delhi,2014,52000,Diesel,Manual,First,5.0,4.25,Maruti,Swift,LDI,22.9,1248.0,74.0
52,Kolkata,2014,53000,Diesel,Manual,First,5.0,3.3,Maruti,Swift,Ldi BSIV,17.8,1248.0,75.0
53,Delhi,2013,65650,Diesel,Manual,First,5.0,3.85,Maruti,Swift,VDI,28.4,1248.0,74.0
54,Chennai,2015,54000,Petrol,Manual,Third,5.0,3.6,Hyundai,Grand,i10 Sportz,18.9,1197.0,82.0
55,Kolkata,2015,39000,Petrol,Manual,First,5.0,3.99,Volkswagen,Vento,2013-2015 1.6 Comfortline,15.04,1598.0,103.2
56,Kochi,2017,16542,Petrol,Manual,First,5.0,3.3,Renault,KWID,RXT,25.17,799.0,53.3
57,Kolkata,2010,32000,Petrol,Manual,First,5.0,2.07,Hyundai,i10,Asta,20.36,1197.0,78.9
58,Hyderabad,2010,121812,Diesel,Automatic,First,5.0,7.75,Nissan,X-Trail,SLX AT,13.29,1995.0,147.6
59,Hyderabad,2010,39300,Petrol,Manual,First,5.0,2.25,Maruti,Zen,Estilo VXI BSIII,18.2,998.0,67.1
60,Mumbai,2017,22000,Diesel,Manual,First,8.0,16.5,Toyota,Innova,Crysta 2.4 GX MT 8S,13.68,2393.0,147.8
61,Bangalore,2010,72000,Diesel,Manual,First,5.0,2.75,Ford,Figo,Diesel Titanium,20.0,1399.0,68.0
62,Delhi,2015,58000,Petrol,Automatic,First,5.0,26.7,Mercedes-Benz,New,C-Class C 200 CGI Avantgarde,11.74,1796.0,186.0
63,Pune,2011,65000,Diesel,Manual,Second,5.0,10.0,Mercedes-Benz,New,C-Class 200 CDI Classic,15.8,2148.0,170.0
64,Chennai,2016,178000,Diesel,Manual,First,5.0,2.5,Tata,Indica,V2 eLS,25.0,1396.0,69.0
65,Jaipur,2012,65664,Diesel,Automatic,First,5.0,13.5,Audi,A4,2.0 TDI Multitronic,16.55,1968.0,140.0
66,Mumbai,2007,63000,Petrol,Automatic,Second,5.0,1.85,Honda,City,ZX CVT,16.4,1497.0,78.0
67,Coimbatore,2019,15369,Diesel,Automatic,First,5.0,35.67,Mercedes-Benz,C-Class,Progressive C 220d,0.0,1950.0,194.0
68,Pune,2016,63000,Diesel,Manual,First,7.0,8.15,Maruti,Ertiga,SHVS VDI,24.52,1248.0,88.5
69,Mumbai,2018,13000,Diesel,Manual,First,5.0,10.5,Hyundai,Creta,1.4 E Plus Diesel,22.1,1396.0,88.7
70,Mumbai,2008,73000,Petrol,Automatic,First,5.0,14.5,Porsche,Cayenne,2009-2014 Turbo,8.5,4806.0,500.0
71,Mumbai,2015,55729,Diesel,Manual,First,7.0,9.65,Mahindra,XUV500,W8 4WD,15.1,2179.0,140.0
72,Kochi,2012,45178,Petrol,Automatic,First,5.0,3.48,Hyundai,i10,Sportz 1.2 AT,16.95,1197.0,78.9
73,Kochi,2015,56066,Diesel,Manual,First,5.0,6.92,Nissan,Terrano,XV D Pre,19.64,1461.0,108.5
74,Coimbatore,2016,37300,Petrol,Automatic,Second,5.0,6.46,Honda,Brio,VX AT,16.5,1198.0,86.8
75,Delhi,2014,56000,Diesel,Automatic,Second,5.0,29.5,Audi,A6,2.0 TDI Design Edition,18.53,1968.0,187.74
76,Jaipur,2008,111111,Diesel,Manual,First,5.0,2.0,Ford,Fiesta,1.4 SXi TDCi,17.8,1399.0,-1.0
77,Chennai,2006,230000,Petrol,Manual,Third,8.0,4.5,Toyota,Innova,2.0 G1,12.4,1998.0,132.0
